Entry,Neighborhood,Latitude,Longitude,Lot Size,Finished Size,Sale Price,Year Built,Bathrooms,Bedrooms
35,Southside Slopes,40.42027,-79.969517,1600,1202," $63,188 ",1900,1,2
36,Knoxville,40.411544,-79.996075,5215,1862," $64,137 ",1902,2,2
37,Lincoln Place,40.368206,-79.915657,4091,1296," $64,429 ",1896,,0
38,Beechview,40.413875,-80.017814,3000,1290," $65,762 ",1957,1,3
39,Fine View,40.462146,-80.002896,2760,2081," $66,931 ",1902,2,3
40,Perry South,40.460419,-80.012653,3232,1154," $67,157 ",1920,1.5,2
41,Bloomfield,40.463623,-79.955983,1300,952," $67,479 ",1900,1,2
42,Sheraden,40.454534,-80.052089,5000,1782," $67,612 ",1914,2,4
43,Perry North,40.482446,-80.010067,2063,968," $67,766 ",1936,1,2
44,Beechview,40.409737,-80.026236,3000,1100," $68,232 ",1957,1,3
45,Wind Gap,40.458994,-80.077679,5200,992," $68,596 ",1955,1,3
46,Carrick,40.399085,-79.985988,2546,2000," $68,801 ",1916,2.5,3
47,Carrick,40.391016,-79.983899,5200,1276," $68,918 ",1950,1.5,3
48,Mount Washington,40.423081,-80.001482,2500,1575," $69,049 ",1925,1,4
49,Beechview,40.414721,-80.024259,3450,1050," $69,462 ",1960,1,2
50,Overbrook,40.383482,-79.987301,3348,1276," $69,665 ",1927,1.5,3
51,Beechview,40.410336,-80.02345,3000,1065," $69,717 ",1921,1,2
52,Beechview,40.411025,-80.026845,3000,1176," $70,725 ",1960,2,3
53,Carrick,40.398104,-79.984087,4335,1944," $71,037 ",1924,2,3
54,Sheraden,40.452861,-80.061794,2650,2000," $71,059 ",1910,,0
55,Knoxville,40.416636,-79.996268,3750,2306," $71,839 ",1902,2,0
56,Brighton Heights,40.478868,-80.03913,3000,1890," $71,898 ",1910,2,2
57,Carrick,40.394766,-79.983036,4800,2069," $72,189 ",1922,1,3
58,Upper Lawrenceville,40.480632,-79.953487,1120,1172," $72,710 ",1900,1,2
59,Central Lawrenceville,40.470098,-79.959945,538,1456," $73,076 ",1890,2.5,3
60,Hazelwood,40.416862,-79.936862,2883,1024," $73,100 ",1921,1.5,2
61,Banksville,40.403059,-80.03927,6088,925," $73,298 ",1955,1,3
62,Perry South,40.468932,-80.017998,3771,1613," $73,377 ",1924,1,3
63,Lincoln Place,40.365908,-79.908193,4740,975," $74,146 ",1952,1.5,3
64,Hazelwood,40.405279,-79.941334,3450,2405," $74,366 ",1920,1,5
65,Carrick,40.391671,-79.981943,8805,1261," $74,659 ",1960,1.5,3
66,Carrick,40.400464,-79.987908,3332,1846," $74,980 ",1900,2,4
67,Morningside,40.484232,-79.928455,1600,1080," $75,480 ",1930,1,2
68,Carrick,40.397669,-79.990946,3920,1814," $75,788 ",1930,1,4
69,Bon Air,40.406943,-79.99904,6000,875," $76,357 ",1950,1,3
70,Brookline,40.393619,-80.013477,3600,864," $76,361 ",1925,1,2
71,Chartiers City,40.458423,-80.0706,8712,928," $76,989 ",1965,1,3
72,Bloomfield,40.463781,-79.956983,686,1076," $77,492 ",1935,1,3
73,Carrick,40.397266,-79.982162,6000,1924," $77,683 ",1955,2,3
74,Beechview,40.412774,-80.014979,3000,672," $77,802 ",1960,1,3
75,Mount Washington,40.423277,-79.998843,3750,2019," $78,097 ",1918,2,3
76,Lincoln Place,40.36608,-79.915112,4500,1352," $79,272 ",2001,2,3
77,Oakland,40.43442,-79.959809,565,1080," $79,392 ",1975,1,1
78,Lower Lawrenceville,40.462599,-79.959821,1088,1620," $79,675 ",1920,2,4
79,Bon Air,40.409127,-79.998624,4800,910," $79,772 ",1920,1,2
80,Troy Hill,40.456826,-79.990706,2178,1040," $80,367 ",1920,1.5,3
81,Beechview,40.408971,-80.025292,2500,1320," $80,394 ",1925,1,3
82,Lower Lawrenceville,40.463612,-79.958353,1940,1256," $80,758 ",1900,1,2
83,Mount Washington,40.424223,-80.000206,2613,1202," $81,241 ",1926,1,3
84,Mount Washington,40.431486,-80.011324,3244,960," $81,863 ",1915,1,2
85,Overbrook,40.376227,-79.99434,3920,1320," $82,900 ",1931,2.5,3
86,Brighton Heights,40.485134,-80.042823,4515,1224," $83,044 ",1954,2,3
87,Crafton Heights,40.451345,-80.057046,3000,1144," $83,092 ",1925,1,3
88,Crafton Heights,40.444173,-80.048529,6860,1504," $83,140 ",1920,1,3
89,Central Lawrenceville,40.469184,-79.955728,1000,1020," $83,293 ",1880,1,2
90,Brighton Heights,40.481564,-80.043324,9600,1574," $84,121 ",1925,2,3
91,Brookline,40.392566,-80.009166,3150,1392," $84,563 ",1920,2,2
92,Central Lawrenceville,40.47585,-79.960391,906,966," $84,591 ",1880,1,2
93,Elliott,40.440616,-80.042503,4704,2294," $84,683 ",1910,,0
94,East Allegheny,40.453358,-79.998909,804,1283," $86,082 ",1900,2,2
95,Chartiers City,40.455648,-80.072071,5500,1707," $86,719 ",1880,1,3
96,Crafton Heights,40.438532,-80.054635,4100,1776," $86,815 ",1920,1,3
97,Brookline,40.391293,-80.024163,3600,1218," $87,001 ",1928,1,3
98,Westwood,40.429979,-80.048167,5000,1008," $87,434 ",1941,1,2
99,Beechview,40.412564,-80.024569,3450,2360," $88,468 ",1920,2,5
100,Brookline,40.404988,-80.017461,5336,1000," $89,406 ",1961,1.5,3
101,Perry South,40.465988,-80.006487,5250,2534," $89,616 ",1900,3,3
102,Carrick,40.385847,-79.982304,4510,1276," $89,622 ",1950,1,3
103,Marshall - Shadeland,40.474984,-80.030128,1815,3220," $90,233 ",1881,2,5
104,Beechview,40.405093,-80.026685,2912,1969," $90,873 ",1932,2,4
105,North Oakland,40.448194,-79.950992,744,744," $91,275 ",1940,1,0
106,Mount Washington,40.420584,-80.010436,4777,1528," $91,360 ",1890,2,3
107,Brookline,40.390969,-80.022174,3600,1303," $91,617 ",1924,1,3
108,Beechview,40.415688,-80.025289,3000,2404," $91,989 ",1930,,0
109,Oakwood,40.429366,-80.064529,12320,1266," $92,392 ",1958,2.5,4
110,Elliott,40.437924,-80.0411,5060,2109," $92,410 ",1944,2,3
111,Upper Hill,40.454852,-79.961604,8254,2628," $92,410 ",1920,3,5
112,Carrick,40.382951,-79.984862,7320,2156," $92,528 ",1925,1,3
113,Upper Lawrenceville,40.478293,-79.952128,3000,1596," $93,709 ",1900,2.5,4
114,Brookline,40.393676,-80.023609,3600,1144," $95,775 ",1948,1,3
