name,latitude,longitude
Subway,44.879383,-123.028601
McDonald's,44.968633,-123.028522
Cafe Yumm - River Bend,44.08239,-123.02748
Burger King,44.978274,-123.026602
Pizza Hut,44.98961,-123.02649
Dairy Queen,45.004982,-123.023055
Dairy Queen,45.004982,-123.023055
Taco Time,44.0461,-123.0225
Domino's Pizza,44.87205,-123.02243
SUBWAY,45.51935,-123.00518
Subway,44.0602,-122.99861
Burger King,44.059675,-122.998163
McDonald's,45.592594,-122.997096
Chipotle Mexican Grill,45.0111,-122.99663
Panera Bread,45.0088,-122.9963
Pietro's Pizza Pirate Adventure,44.94962,-122.99277
Pietros Pizza,44.9492,-122.9926
McDonald's,44.949393,-122.992538
Subway,44.94831,-122.99199
SUBWAY,44.9483,-122.9918
Kfc,44.05926,-122.98985
McDonald's,44.990019,-122.987467
McDonald's,44.9901,-122.9869
SUBWAY,45.522837,-122.985824
Taco Bell,44.9548,-122.9841
Five Guys,44.9567,-122.9841
Five Guys,44.956542,-122.983876
McDonald's,44.9436,-122.9837
Del Taco,44.9377,-122.9836
Jimmy John's,44.96819,-122.98338
Pizza Hut,44.9649,-122.9832
Pizza Hut,44.045553,-122.983185
Taco Bell,44.922274,-122.983132
Arby's,44.942986,-122.982958
Jack in the Box,46.728694,-122.980432
Burger King,44.91439,-122.97977
Arby's,46.730005,-122.97931
Taco Bell,46.729331,-122.979257
McDonald's,46.67453,-122.978378
Subway,45.04804,-122.97485
Quiznos,46.72538,-122.97456
Wendy's,46.72527,-122.97422
Giant Burger,44.046,-122.973
Bella Union Restaurant and Saloon,42.31468,-122.96823
Domino's Pizza,44.04537,-122.96621
McDonald's,46.67812,-122.96267
Burger King,46.147527,-122.962214
Arby's,44.04612,-122.9621
KFC,46.7178,-122.9611
Subway,45.53049,-122.96105
SUBWAY,45.307193,-122.946879
Taco Bell,45.307338,-122.942752
Dairy Queen,43.9694,-122.9399
Taco Bell,47.037954,-122.939818
Plato's Closet,47.0341,-122.9371
Pizza Hut,46.1404,-122.9355
McDonalds,46.95472,-122.93511
Chipotle Mexican Grill,45.53298,-122.93497
Pizza Hut,47.04661,-122.93447
Gyros Gyros,46.13792,-122.93364
Jimmy John's,46.14207,-122.93341
Wendy's,47.045663,-122.933101
SUBWAY,46.121,-122.9327
Arby's,46.1424,-122.9327
Dominos Pizza,46.143367,-122.930206
Subway,44.0457,-122.929
McDonald's,44.045685,-122.928465
Taco Time,44.0399,-122.9276
Taco Time,46.146361,-122.926674
Taco Bell,46.146362,-122.926549
Eagan's Drive-In,47.04603286,-122.9199181
Eagans Westside Drive Inn,47.04614,-122.91983
SUBWAY,46.99703,-122.91911
Taco Bell,45.500036,-122.917747
Pizza Hut,42.36943,-122.9132
Taco Bell,47.000254,-122.910041
KFC,47.0021,-122.9093
Jack in the Box,47,-122.9089
Arby's,46.601994,-122.90838
Burger King,46.99973,-122.90804
Domino's Pizza,44.52464,-122.90761
Taco Time,44.5238,-122.9072
SUBWAY,46.1857,-122.9056
Burger King,46.605372,-122.904392
Pizza Hut,44.518584,-122.901523
SUBWAY,47.039102,-122.900963
Burger King,45.53736,-122.90057
Burger King,45.5374,-122.9005
KFC,42.3761,-122.9001
Burger King,42.3778531,-122.9000353
Subway,42.37791,-122.89905
Taco Bell,42.37791,-122.89905
Pizza Time,47.04578,-122.89674
Sonic Drive-In,42.3784,-122.8962
Sonic Drive-In,42.37833,-122.89607
McDonald's,45.56638,-122.89489
McDonalds,45.56617,-122.894794
Canneti Roadhouse Etaliano,38.47369,-122.89279
McDonald's,47.0425,-122.8926
Jimmy John's,43.9904,-122.883
SUBWAY,42.34367,-122.88291
Chipotle Mexican Grill,42.34426,-122.8811
Wendy's,45.495176,-122.880029
In-N-Out Burger,42.3465,-122.879944
SUBWAY,45.15429,-122.87818
Wendy's,42.341852,-122.878153
Taco Bell,45.150083,-122.877935
McDonald's,45.1506,-122.8769
Wetzel's Pretzels,42.34337,-122.8767
KFC,45.1514,-122.8744
Taco Delight,42.3471,-122.8742
Burger King,45.49496,-122.87326
McDonald's,42.339557,-122.872146
Mucho Gusto,42.34189,-122.87047
Kentucky Fried Chicken,45.49442861,-122.8704037
Domino's Pizza,45.4744,-122.8681
China Hut,42.323182,-122.867998
McDonald's,45.537219,-122.867249
Burger King,45.534686,-122.866152
Jimmy John's,42.3329,-122.8648
Jack in the Box,42.315756,-122.861696
Arby's,42.313247,-122.860231
Subway,42.341684,-122.8600135
SUBWAY,42.3417,-122.86
KFC,42.315458,-122.859661
SUBWAY,46.856795,-122.858387
Panera Bread,45.144615,-122.858345
McDonald's,45.479492,-122.85817
Hometown Buffet,42.313215,-122.856834
McDonald's,42.371763,-122.855932
Subway,42.312423,-122.8549
Nonna Emilia Ristorante,45.4919,-122.8539
Dairy Queen,42.315759,-122.851789
KFC,42.422257,-122.85147
McDonald's,42.424354,-122.85108
Subway,42.42633,-122.84995
Dairy Queen,42.427895,-122.849245
McDonald's,45.3656,-122.8477
McDonald's,45.365922,-122.847632
Taco Time,47.0416,-122.847
Dairy Queen,47.043492,-122.844642
AW Restaurants,45.36905,-122.841644
KFC,45.3690719,-122.8414308
Burger King,45.529385,-122.841321
Mary's Pizza Shack,38.4081,-122.8403
Panda Express,45.367652,-122.838988
Burger King,38.407691,-122.838681
Jersey Mike's Subs,47.04796,-122.83218
Panda Express,47.048381,-122.83183
SUBWAY,45.8483,-122.8312
Burgerville,45.8506,-122.8298
Cafe Yumm,45.495063,-122.827075
Slice of Life,38.403698,-122.824455
Domino's Pizza,47.04901,-122.8243
Burger King,46.996547,-122.822565
McDonald's,38.394035,-122.818689
El Coronel,38.389893,-122.81583
Taco Bell,45.52452,-122.81565
Chipotle Mexican Grill,45.52755,-122.81551
El Coronel,38.39004,-122.81533
SUBWAY,45.49888,-122.80759
Senju Japanese Restaurant,38.549061,-122.807339
Wendy's,45.493432,-122.807337
SUBWAY,46.996305,-122.807073
Subway,45.523847,-122.806737
Jack in the Box,45.498746,-122.806632
